nombre,tipo_elec,onomastico,suplente,edo,ent,ent_2,correo,ext
Dip. Francisco Javier Luevano Nunez,Mayoria Relativa,01-jul-79,Gustavo Armendariz Viramontes,Aguascalientes,Distrito:1,H-249,francisco.luevano@diputados.gob.mx,59907
Dip. Elba Lorena Torres Diaz (LICENCIA),Mayoria Relativa,15-mar-77,Haydee Hernandez Munoz,Aguascalientes,Distrito:2,H-278,elba.torres@diputados.gob.mx,62100
Dip. Martha Elisa Gonzalez Estrada (LICENCIA),Mayoria Relativa,29-ene-77,Claudia Patricia Torres Lopez(en funciones),Aguascalientes,Distrito:3,E-119,elisa.gonzalez@diputados.gob.mx,59911
Dip. Jesus Salvador Minor Mora,Mayoria Relativa,01-jun-51,Juan Melendrez Espinoza,Baja California,Distrito:1,L-453,jesus.minor@diputados.gob.mx,61368
Dip. Marina del Pilar Avila Olmeda (LICENCIA),Mayoria Relativa,19-oct-85,Martha Lizeth Noriega Galaz(en funciones),Baja California,Distrito:2,K-410,marina.avila@diputados.gob.mx,61372
Dip. Armando Reyes Ledesma,Mayoria Relativa,10-abr-72,Christian Hiram Dunn Fitch,Baja California,Distrito:3,F-198,armando.reyes@diputados.gob.mx,62030
Dip. Socorro Irma Andazola Gomez,Mayoria Relativa,22-sep-64,Carlota Lara Guzman,Baja California,Distrito:4,L-451,socorro.andazola@diputados.gob.mx,61370
Dip. Mario Ismael Moreno Gil,Mayoria Relativa,17-jun-48,Luis Javier Algorri Franco,Baja California,Distrito:5,L-452,ismael.moreno@diputados.gob.mx,61327
Dip. Javier Julian Castaneda Pomposo (LICENCIA),Mayoria Relativa,07-oct-67,Erwin Jorge Areizaga Uribe(en funciones),Baja California,Distrito:6,G-237,javier.castaneda@diputados.gob.mx,61810
Dip. Erik Isaac Morales Elvira,Mayoria Relativa,01-sep-76,Armando Teran Corella,Baja California,Distrito:7,K-411,erik.morales@diputados.gob.mx,61374
Dip. Hector Rene Cruz Aparicio (LICENCIA),Mayoria Relativa,27-dic-82,Alfredo Rivas Aispuro(en funciones),Baja California,Distrito:8,P-508,hector.cruz@diputados.gob.mx,53009
Dip. Ana Ruth Garcia Grande,Mayoria Relativa,30-may-71,Yolanda Jimenez Espinoza,Baja California Sur,Distrito:1,G-240,ruth.garcia@diputados.gob.mx,65052
Dip. Alfredo Porras Dominguez,Mayoria Relativa,21-feb-57,Marco Antonio Cesena Sandoval,Baja California Sur,Distrito:2,D-115,alfredo.porras@diputados.gob.mx,62010
Dip. Carlos Enrique Martinez Ake,Mayoria Relativa,25-abr-77,Daniel Jesus Gomez Vargas,Campeche,Distrito:1,G-219,cenrique.martinez@diputados.gob.mx,61566
Dip. Irasema del Carmen Buenfil Diaz,Mayoria Relativa,22-ago-58,Azalia del Carmen Kuri Garcia,Campeche,Distrito:2,E-151,irasema.buenfil@diputados.gob.mx,61865
Dip. Erika Vanessa Del Castillo Ibarra,Mayoria Relativa,10-jun-78,Veronica Bustamante Martinez,Ciudad de Mexico,Distrito:1,G-225,erika.delcastillo@diputados.gob.mx,66418
Dip. Armando Gonzalez Escoto,Mayoria Relativa,27-ago-67,Juan Javier Calva Hernandez,Ciudad de Mexico,Distrito:2,E-154,agonzalez.escoto@diputados.gob.mx,61829
Dip. Miguel Angel Jauregui Montes de Oca,Mayoria Relativa,19-feb-75,Gerardo Vallejo Rodriguez,Ciudad de Mexico,Distrito:3,J-351,miguel.jauregui@diputados.gob.mx,61252
Dip. Gerardo Fernandez Norona,Mayoria Relativa,19-mar-60,Balfre Vargas Cortez,Ciudad de Mexico,Distrito:4,A-024,jgerardo.fernandez@diputados.gob.mx,62098
Dip. Claudia Lopez Rayon,Mayoria Relativa,22-abr-73,Gabriela Romero Martinez,Ciudad de Mexico,Distrito:5,K-396,claudia.lopez@diputados.gob.mx,61250
Dip. Sergio Mayer Breton,Mayoria Relativa,21-may-66,Oscar Bernache Dominguez,Ciudad de Mexico,Distrito:6,E-140,sergio.mayer@diputados.gob.mx,67078
Dip. Beatriz Rojas Martinez,Mayoria Relativa,21-dic-66,Erika Nayat Montes Casillas,Ciudad de Mexico,Distrito:7,G-224,beatriz.rojas@diputados.gob.mx,61688
